male,female,age,CSI,kobi_21,kobi_22,PPR
kusyao,co-17,5,0.528849594,0,0,1
kusyao,yun-0217,5,0.320737829,0,0,1
rakumo,ku-17,5,0.748318295,0,0,1
alpha,cho-1018,4,1.882455064,0,0,1
beta,ku-9818,4,0.252787047,0,0,1
ojii,sy-18,4,0.459771194,0,0,0
kusyao,ku-9818,4,24.37573109,0,0,1
kusyao,cho-1018,4,0.596914618,0,0,1
kusyao,cho-9518,4,0.127368837,0,0,0
rakumo,ku-9818,4,0.200494469,0,0,0
rakumo,gl-18,4,0.030245078,0,0,0
